FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Sudan,2020-07-09 04:34:23,12.8628,30.2176,10084,636,5074,4374,Sudan,22.99696261755241,6.307021023403411
,,,Suriname,2020-07-09 04:34:23,3.9193,-56.0278,665,17,434,214,Suriname,113.35858473937752,2.556390977443609
,,,Switzerland,2020-07-09 04:34:23,46.8182,8.2275,32498,1966,29400,1132,Switzerland,375.49895327558073,6.049603052495538
,,,Syria,2020-07-09 04:34:23,34.802075,38.99681500000001,372,14,126,232,Syria,2.1256344833225405,3.763440860215054
,,,Taiwan*,2020-07-09 04:34:23,23.7,121.0,449,7,438,4,Taiwan*,1.8852258544660223,1.55902004454343
,,,Tajikistan,2020-07-09 04:34:23,38.861034000000004,71.276093,6364,54,5011,1299,Tajikistan,66.72508781520632,0.8485229415461973
,,,Tanzania,2020-07-09 04:34:23,-6.369028,34.888822,509,21,183,305,Tanzania,0.852107987092757,4.12573673870334
,,,Thailand,2020-07-09 04:34:23,15.870032,100.992541,3197,58,3074,65,Thailand,4.5802306699867446,1.8142008132624334
,,,Timor-Leste,2020-07-09 04:34:23,-8.874217,125.727539,24,0,24,0,Timor-Leste,1.820330359621432,0.0
,,,Togo,2020-07-09 04:34:23,8.6195,0.8248,695,15,475,205,Togo,8.395000348483109,2.158273381294964
,,,Trinidad and Tobago,2020-07-09 04:34:23,10.6918,-61.2225,133,8,117,8,Trinidad and Tobago,9.503455184777897,6.015037593984962
,,,Tunisia,2020-07-09 04:34:23,33.886917,9.537499,1221,50,1050,121,Tunisia,10.331157162368733,4.095004095004095
,,,Turkey,2020-07-09 04:34:23,38.9637,35.2433,208938,5282,187511,16145,Turkey,247.7357260781649,2.5280226670112667
,,,Uganda,2020-07-09 04:34:23,1.373333,32.290275,977,0,904,73,Uganda,2.1359393104654467,0.0
,,,United Arab Emirates,2020-07-09 04:34:23,23.424076,53.847818000000004,53045,327,42282,10436,United Arab Emirates,536.3281565962953,0.6164577245734754
,,,Uruguay,2020-07-09 04:34:23,-32.5228,-55.7658,974,29,871,74,Uruguay,28.0390485492959,2.97741273100616
,,,Uzbekistan,2020-07-09 04:34:23,41.377491,64.585262,11092,45,7060,3987,Uzbekistan,33.140918609973305,0.40569780021637214
,,,Venezuela,2020-07-09 04:34:23,6.4238,-66.5897,8008,75,2100,5833,Venezuela,28.161541890838645,0.9365634365634365
,,,Vietnam,2020-07-09 04:34:23,14.058323999999999,108.277199,369,0,347,22,Vietnam,0.3790891428941389,0.0
,,,West Bank and Gaza,2020-07-09 04:34:23,31.9522,35.2332,5029,20,494,4515,West Bank and Gaza,98.58047255899143,0.39769337840524954
,,,Western Sahara,2020-07-09 04:34:23,24.2155,-12.8858,10,1,8,1,Western Sahara,1.674116485025028,10.0
,,,Yemen,2020-07-09 04:34:23,15.552726999999999,48.516388,1318,351,595,372,Yemen,4.4189680616568765,26.631259484066767
,,,Zambia,2020-07-09 04:34:23,-13.133897,27.849332,1895,42,1348,505,Zambia,10.307901085054816,2.216358839050132
,,,Zimbabwe,2020-07-09 04:34:23,-19.015438,29.154857,885,9,206,670,Zimbabwe,5.954412613343253,1.0169491525423728
